city,customers,share_pct
sao paulo,15540,15.63
rio de janeiro,6882,6.92
belo horizonte,2773,2.79
brasilia,2131,2.14
curitiba,1521,1.53
campinas,1444,1.45
porto alegre,1379,1.39
salvador,1245,1.25
guarulhos,1189,1.2
sao bernardo do campo,938,0.94
niteroi,849,0.85
santo andre,797,0.8
osasco,746,0.75
santos,713,0.72
goiania,692,0.7
sao jose dos campos,691,0.69
fortaleza,654,0.66
sorocaba,633,0.64
recife,613,0.62
florianopolis,570,0.57
