id,country,Region,continent,,1990,1995,2000,2005,2010,2015,2020,2024
71,Republic,of,Korea,Eastern,Asia,ASIA,18499,52719,144426,231744,566098,1312172
72,Afghanistan,Southern,Asia,ASIA,57686,71522,75917,87314,102276,339432,144098,98110
73,Bangladesh,Southern,Asia,ASIA,881617,934735,987853,1062270,1345546,1422179,2115408,2906338
74,Bhutan,Southern,Asia,ASIA,23807,27972,32137,40279,48420,51106,53612,55705
75,India,Southern,Asia,ASIA,7212791,6836861,6391543,5954999,5601237,5252296,4929816,4796255
76,Iran,(Islamic,Republic,of),Southern,Asia,ASIA,4291601,2937668,2476469,2552206,2722397
77,Maldives,Southern,Asia,ASIA,8689,18510,27092,45045,54659,64273,70079,75099
78,Nepal,Southern,Asia,ASIA,429974,690225,717900,680729,581889,509471,487564,470719
79,Pakistan,Southern,Asia,ASIA,6208204,3669308,4181912,3174558,3943681,3506520,3276580,4175958
80,Sri,Lanka,Southern,Asia,ASIA,41561,40841,40132,39526,38959,39706,40254
81,Brunei,Darussalam,South-Eastern,Asia,ASIA,73200,84748,96296,98441,100587,102733,111959
82,Cambodia,South-Eastern,Asia,ASIA,38375,92230,146085,114096,82028,73962,79341,83925
83,Indonesia,South-Eastern,Asia,ASIA,92058,114419,287645,87508,113288,192119,306702,445726
84,Lao,People's,Democratic,Republic,South-Eastern,Asia,ASIA,22866,23526,21948,20371,32955
85,Malaysia,South-Eastern,Asia,ASIA,1027572,1312828,1613819,2174308,3086876,3513497,3718696,3806514
86,Myanmar,South-Eastern,Asia,ASIA,133545,113663,98011,83025,76414,73309,76446,79052
87,Philippines,South-Eastern,Asia,ASIA,134600,145980,157361,168741,178147,131897,87212,87212
88,Singapore,South-Eastern,Asia,ASIA,729377,993616,1319433,1494527,2160350,2535340,2589107,2841665
89,Thailand,South-Eastern,Asia,ASIA,287933,271568,771234,1705845,2640454,2853248,3015007,3179399
90,Timor-Leste,South-Eastern,Asia,ASIA,8954,9743,10602,11286,11540,8520,8399,8303
91,Viet,Nam,South-Eastern,Asia,ASIA,88560,88376,86213,81997,84408,101386,200639
92,Armenia,Western,Asia,ASIA,433541,622042,588242,476812,210873,190896,207139,274645
93,Azerbaijan,Western,Asia,ASIA,402177,588812,523518,301922,251417,224337,198894,218460
94,Bahrain,Western,Asia,ASIA,176972,213818,238924,387591,643007,721540,785983,840202
95,Cyprus,Western,Asia,ASIA,43805,61941,80076,122849,188472,176693,190366,202062
96,Georgia,Western,Asia,ASIA,304470,152235,76117,71296,73078,76685,79368,81582
97,Iraq,Western,Asia,ASIA,83638,199460,210525,134863,120466,359352,365766,370980
98,Israel,Western,Asia,ASIA,1622505,1781111,1838155,1881017,1953214,2019891,2068830,2091569
99,Jordan,Western,Asia,ASIA,1131529,1511664,1834160,2229368,3723368,4386976,4940142,5280168
100,Kuwait,Western,Asia,ASIA,1056143,935152,1116932,1353949,1871827,2610785,3030731,3323191
101,Lebanon,Western,Asia,ASIA,424488,466437,514836,553850,625884,1763717,1586346,1422583
102,Oman,Western,Asia,ASIA,526784,538639,550760,608416,803387,1827972,1766142,2283366
103,Qatar,Western,Asia,ASIA,215508,307661,439215,643000,1409000,2090000,2182000,2337000
104,Saudi,Arabia,Western,Asia,ASIA,4484868,4853489,5219382,6605114,8976961,13251622,13071258
105,State,of,Palestine,Western,Asia,ASIA,288332,281767,275202,274520,273840,273163
106,Syrian,Arab,Republic,Western,Asia,ASIA,714140,830610,834916,882398,1783595,835716
107,Türkiye,Western,Asia,ASIA,1159415,1220898,1279019,1345188,1420433,3750982,6580295,7083501
108,United,Arab,Emirates,Western,Asia,ASIA,1302298,1795514,2373577,3218730,5446000,6859000
109,Yemen,Western,Asia,ASIA,118863,136515,144940,171871,288394,379882,387113,392997
110,Belarus,Eastern,Europe,EUROPE,1248977,1186282,1123586,1106982,1090378,1082905,1067090,1054604
111,Bulgaria,Eastern,Europe,EUROPE,21510,32435,43360,61074,76287,123803,184363,299100
112,Czechia,Eastern,Europe,EUROPE,442428,531039,639018,670689,692197,688047,680221,1025199
113,Hungary,Eastern,Europe,EUROPE,347510,322234,296957,366787,436616,475508,584567,689565
114,Poland,Eastern,Europe,EUROPE,1127393,963028,822627,724887,649114,683663,738099,1739901
115,Republic,of,Moldova,Eastern,Europe,EUROPE,533397,365099,250134,174263,132386,101730
116,Romania,Eastern,Europe,EUROPE,135745,134970,134204,139430,148107,212560,338734,655579
117,Russian,Federation,Eastern,Europe,EUROPE,11524948,11928927,11900297,11667588,11199727,9098229,7297611
118,Slovakia,Eastern,Europe,EUROPE,41295,69323,116376,130491,146319,177624,197161,323991
119,Ukraine,Eastern,Europe,EUROPE,6892920,6172338,5527087,5050302,4818767,4915142,4997387,5064173
120,Channel,Islands,Northern,Europe,EUROPE,61660,60519,64301,70941,77581,82307,84087
