block,countries,avg_slope,avg_slope_per_1000,percent_of_countries
Bottom (↓),77,-7257.131049459953,-0.8121219333355615,33.047210300429185
Neutral (≈),79,1770.2860740803044,4.49403830950118,33.90557939914164
Top (↑),77,63962.21720927037,7.123113687157605,33.047210300429185
