column,n,missing,min,p25,median,p75,max,mean
declared_product_catalog_size,69,773,1.0,30.0,100.0,300.0,2000.0,233.02898550724638
declared_monthly_revenue,842,0,0.0,0.0,0.0,0.0,50000000.0,73377.67933491686
