country,continent,slope,Country Name,avg_population,slope_per_1000,block
Sri Lanka,ASIA,-27.110495877937737,Sri Lanka,16861408.953846153,-0.0016078428529991693,Bottom (↓)
State of Palestine,ASIA,-396.3503137689184,,,,Bottom (↓)
Tajikistan,ASIA,-3661.270702596284,Tajikistan,5664832.984615385,-0.6463157364991348,Bottom (↓)
Timor-Leste,ASIA,-41.153808293343175,Timor-Leste,837864.6307692308,-0.04911749079986882,Bottom (↓)
Tokelau,OCEANIA,28.339854804971083,,,,Bottom (↓)
Tonga,OCEANIA,20.21976128952873,Tonga,96820.15384615384,0.2088383511728117,Bottom (↓)
Turkmenistan,ASIA,-3084.2255444813586,Turkmenistan,4077478.3076923075,-0.7564051386031553,Bottom (↓)
Tuvalu,OCEANIA,-1.4230343300110742,Tuvalu,8437.723076923077,-0.1686514616606737,Bottom (↓)
Ukraine,EUROPE,-50688.1196013289,Ukraine,47756118.76923077,-1.0613952914864435,Bottom (↓)
United Republic of Tanzania,Africa,-15439.59702227144,,,,Bottom (↓)
Uzbekistan,ASIA,-14734.22480620155,Uzbekistan,21201344.138461538,-0.6949665412709408,Bottom (↓)
Vanuatu,OCEANIA,31.306016980435587,Vanuatu,168676.24615384615,0.18559825520353357,Bottom (↓)
Wallis and Futuna Islands,OCEANIA,14.961117263442844,,,,Bottom (↓)
Zambia,Africa,-3049.446536237234,Zambia,9521234.923076924,-0.3202784681686818,Bottom (↓)
Zimbabwe,Africa,-3795.615110126738,Zimbabwe,9953787.153846154,-0.38132371643692503,Bottom (↓)
